Date,State,City,Age,Gender,Place of Death,Cause,#
2019-01-12,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,2
2020-01-12,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,1
2019-01-12,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,5
2020-01-12,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2019-01-12,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,1
2020-01-12,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2019-01-15,MT,Cuiaba,30 - 39,M,OUTROS,OUTRAS,1
2019-01-15,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,2
2020-01-15,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,2
2019-01-15,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2020-01-15,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,1
2019-01-15,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,2
2020-01-15,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,3
2020-01-15,MT,Cuiaba,< 9,M,OUTROS,OUTRAS,1
2020-01-15,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,3
2019-01-16,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,1
2019-01-16,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2020-01-16,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2019-01-16,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2020-01-16,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2019-01-16,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,1
2020-01-16,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,3
2020-01-16,MT,Cuiaba,30 - 39,M,OUTROS,OUTRAS,1
2019-01-17,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
2020-01-17,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
2019-01-17,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,1
2019-01-17,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2020-01-17,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2020-01-17,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,1
2020-01-17,MT,Cuiaba,90 - 99,F,OUTROS,OUTRAS,1
2019-01-18,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,4
2020-01-18,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,2
2019-01-18,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2019-01-18,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,1
2020-01-18,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,1
2020-01-18,MT,Cuiaba,< 9,F,OUTROS,OUTRAS,1
2020-01-18,MT,Cuiaba,20 - 29,F,OUTROS,OUTRAS,1
2019-01-22,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,1
2020-01-22,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,2
2019-01-22,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,3
2020-01-22,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,1
2019-01-22,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,2
2020-01-22,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2019-01-22,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,1
2020-01-22,MT,Cuiaba,90 - 99,M,OUTROS,OUTRAS,1
2019-01-22,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
2020-01-22,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,3
2019-01-22,MT,Cuiaba,> 100,F,OUTROS,OUTRAS,1
2020-01-22,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,4
2020-01-22,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2020-01-22,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,1
2019-01-23,MT,Cuiaba,< 9,M,OUTROS,OUTRAS,1
2019-01-23,MT,Cuiaba,30 - 39,M,OUTROS,OUTRAS,1
2020-01-23,MT,Cuiaba,30 - 39,M,OUTROS,OUTRAS,1
2019-01-23,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,3
2020-01-23,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,1
2019-01-23,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,1
2020-01-23,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,3
2019-01-23,MT,Cuiaba,90 - 99,M,OUTROS,OUTRAS,1
2020-01-23,MT,Cuiaba,90 - 99,M,OUTROS,OUTRAS,1
2020-01-23,MT,Cuiaba,10 - 19,M,OUTROS,OUTRAS,1
2020-01-23,MT,Cuiaba,40 - 49,M,OUTROS,OUTRAS,1
2020-01-23,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2019-01-23,MT,Cuiaba,< 9,F,OUTROS,SEPTICEMIA,1
2019-01-23,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,2
2020-01-23,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,1
2020-01-23,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2019-01-24,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,1
2020-01-24,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,1
2019-01-24,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2020-01-24,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2019-01-24,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,1
2020-01-24,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,4
2019-01-24,MT,Cuiaba,90 - 99,M,OUTROS,OUTRAS,1
2020-01-24,MT,Cuiaba,90 - 99,M,OUTROS,OUTRAS,1
2019-01-24,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,2
2020-01-24,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,2
2020-01-24,MT,Cuiaba,30 - 39,F,OUTROS,OUTRAS,1
2020-01-24,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,2
2019-01-27,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,2
2020-01-27,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,6
2019-01-27,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2020-01-27,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,1
2019-01-27,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,2
2020-01-27,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2020-01-27,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,2
2019-01-29,MT,Cuiaba,< 9,M,OUTROS,OUTRAS,2
2019-01-29,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,1
2020-01-29,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,1
2019-01-29,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,3
2020-01-29,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2019-01-29,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,2
2020-01-29,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,2
2019-01-29,MT,Cuiaba,30 - 39,F,OUTROS,OUTRAS,1
2019-01-29,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,2
2020-01-29,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
2019-01-29,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2020-01-29,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2019-01-29,MT,Cuiaba,90 - 99,F,OUTROS,OUTRAS,1
2019-02-01,MT,Cuiaba,< 9,M,OUTROS,OUTRAS,2
2019-02-01,MT,Cuiaba,30 - 39,M,OUTROS,OUTRAS,1
2020-02-01,MT,Cuiaba,30 - 39,M,OUTROS,OUTRAS,2
2019-02-01,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,3
2019-02-01,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2020-02-01,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2019-02-01,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,1
2020-02-01,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,1
2020-02-01,MT,Cuiaba,10 - 19,M,OUTROS,OUTRAS,1
2020-02-01,MT,Cuiaba,20 - 29,M,OUTROS,OUTRAS,2
2020-02-01,MT,Cuiaba,40 - 49,M,OUTROS,OUTRAS,1
2020-02-01,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2019-02-01,MT,Cuiaba,40 - 49,F,OUTROS,OUTRAS,1
2019-02-01,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,2
2019-02-01,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,1
2019-02-01,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,2
2020-02-01,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2019-02-01,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,1
2020-02-01,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,3
2019-02-01,MT,Cuiaba,90 - 99,F,OUTROS,OUTRAS,1
2020-02-01,MT,Cuiaba,90 - 99,F,OUTROS,OUTRAS,1
2020-02-01,MT,Cuiaba,< 9,F,OUTROS,OUTRAS,1
2019-02-02,MT,Cuiaba,40 - 49,M,OUTROS,OUTRAS,1
2019-02-02,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,1
2020-02-02,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,3
2020-02-02,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,1
2020-02-02,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,2
2020-02-02,MT,Cuiaba,90 - 99,M,OUTROS,OUTRAS,1
2019-02-02,MT,Cuiaba,40 - 49,F,OUTROS,OUTRAS,1
2019-02-02,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2020-02-02,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2019-02-02,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,1
2020-02-02,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,3
2020-02-02,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
2020-02-02,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,1
2019-02-03,MT,Cuiaba,40 - 49,M,OUTROS,OUTRAS,1
2019-02-03,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,1
2020-02-03,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,2
2019-02-03,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,3
2020-02-03,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,3
2019-02-03,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,1
2020-02-03,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,3
2020-02-03,MT,Cuiaba,20 - 29,M,OUTROS,OUTRAS,1
2020-02-03,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2019-02-03,MT,Cuiaba,40 - 49,F,OUTROS,OUTRAS,1
2020-02-03,MT,Cuiaba,40 - 49,F,OUTROS,OUTRAS,1
2019-02-03,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
2020-02-03,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,3
2019-02-03,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,3
2020-02-03,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,3
2019-02-03,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,1
2020-02-03,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,1
2020-02-03,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2019-02-04,MT,Cuiaba,< 9,F,OUTROS,OUTRAS,1
2019-02-04,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,2
2019-02-04,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,3
2020-02-04,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,1
2019-02-04,MT,Cuiaba,90 - 99,F,OUTROS,OUTRAS,2
2020-02-04,MT,Cuiaba,90 - 99,F,OUTROS,OUTRAS,2
2020-02-04,MT,Cuiaba,40 - 49,F,OUTROS,OUTRAS,2
2020-02-04,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
2020-02-04,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,1
2019-02-05,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2020-02-05,MT,Cuiaba,< 9,F,OUTROS,OUTRAS,1
2020-02-05,MT,Cuiaba,40 - 49,F,OUTROS,OUTRAS,2
2020-02-05,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,3
2019-02-06,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2020-02-06,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,3
2019-02-06,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2020-02-06,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,3
2019-02-06,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,3
2020-02-06,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,1
2020-02-06,MT,Cuiaba,30 - 39,M,OUTROS,OUTRAS,1
2020-02-06,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,2
2019-02-08,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,1
2020-02-08,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,1
2019-02-08,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,3
2019-02-08,MT,Cuiaba,> 100,F,OUTROS,OUTRAS,1
2020-02-08,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
2020-02-08,MT,Cuiaba,90 - 99,F,OUTROS,OUTRAS,1
2019-02-10,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
2020-02-10,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
2019-02-10,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,1
2020-02-10,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,2
2020-02-10,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,3
2020-02-10,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2020-02-10,MT,Cuiaba,90 - 99,F,OUTROS,OUTRAS,1
2020-02-10,MT,Cuiaba,N/I,F,OUTROS,OUTRAS,1
2019-02-11,MT,Cuiaba,20 - 29,F,OUTROS,OUTRAS,1
2019-02-11,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,3
2020-02-11,MT,Cuiaba,< 9,F,OUTROS,OUTRAS,1
2020-02-11,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,1
2020-02-11,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,2
2019-02-12,MT,Cuiaba,40 - 49,M,OUTROS,OUTRAS,1
2019-02-12,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,1
2019-02-12,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,1
2020-02-12,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2020-02-12,MT,Cuiaba,90 - 99,M,OUTROS,OUTRAS,1
2019-02-13,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,2
2020-02-13,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,3
2019-02-13,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2020-02-13,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,1
2019-02-13,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,2
2020-02-13,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,1
2020-02-13,MT,Cuiaba,30 - 39,M,OUTROS,OUTRAS,1
2020-02-13,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,2
2019-02-15,MT,Cuiaba,20 - 29,M,OUTROS,OUTRAS,1
2019-02-15,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2020-02-15,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,1
2020-02-15,MT,Cuiaba,30 - 39,M,OUTROS,OUTRAS,1
2020-02-15,MT,Cuiaba,40 - 49,M,OUTROS,OUTRAS,1
2020-02-15,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,3
2019-02-15,MT,Cuiaba,20 - 29,F,OUTROS,OUTRAS,1
2019-02-15,MT,Cuiaba,40 - 49,F,OUTROS,OUTRAS,1
2020-02-15,MT,Cuiaba,40 - 49,F,OUTROS,OUTRAS,1
2019-02-15,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,1
2020-02-15,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,1
2019-02-15,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,2
2020-02-15,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2019-02-15,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,4
2020-02-15,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,1
2019-02-15,MT,Cuiaba,90 - 99,F,OUTROS,OUTRAS,2
2020-02-15,MT,Cuiaba,< 9,F,OUTROS,OUTRAS,1
2020-02-15,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
2019-02-16,MT,Cuiaba,30 - 39,F,OUTROS,OUTRAS,1
2019-02-16,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2020-02-16,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,4
2019-02-16,MT,Cuiaba,90 - 99,F,OUTROS,OUTRAS,1
2020-02-16,MT,Cuiaba,< 9,F,OUTROS,OUTRAS,1
2020-02-16,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,1
2020-02-16,MT,Cuiaba,> 100,F,OUTROS,OUTRAS,1
2019-02-20,MT,Cuiaba,40 - 49,F,OUTROS,OUTRAS,1
2019-02-20,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
2019-02-20,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,1
2020-02-20,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,2
2019-02-20,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,1
2019-02-20,MT,Cuiaba,90 - 99,F,OUTROS,OUTRAS,1
2020-02-20,MT,Cuiaba,20 - 29,F,OUTROS,OUTRAS,1
2019-02-21,MT,Cuiaba,40 - 49,M,OUTROS,OUTRAS,1
2020-02-21,MT,Cuiaba,40 - 49,M,OUTROS,OUTRAS,1
2019-02-21,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2020-02-21,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,4
2019-02-21,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2020-02-21,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2020-02-21,MT,Cuiaba,30 - 39,M,OUTROS,OUTRAS,1
2020-02-21,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,1
2020-02-21,MT,Cuiaba,90 - 99,M,OUTROS,OUTRAS,1
2019-02-21,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,2
2020-02-21,MT,Cuiaba,80 - 89,F,OUTROS,OUTRAS,2
2019-02-21,MT,Cuiaba,90 - 99,F,OUTROS,OUTRAS,1
2020-02-21,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,2
2020-02-21,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,1
2020-02-21,MT,Cuiaba,70 - 79,F,OUTROS,OUTRAS,3
2019-02-23,MT,Cuiaba,20 - 29,M,OUTROS,OUTRAS,1
